TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x8578d000,Cont,NonPagedPool,0x1000,Allocated
0,0x85e17000,Cont,NonPagedPool,0x1000,Allocated
0,0x85f8f000,Cont,NonPagedPool,0x1000,Allocated
0,0x913dd000,CM25,PagedPool,0x1000,Allocated
0,0x92bd3000,CM25,PagedPool,0x1000,Allocated
0,0x92fd2000,CM25,PagedPool,0x1000,Allocated
0,0x937d4000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91245000,CM25,PagedPool,0x1000,Allocated
0,0x92a4b000,CM25,PagedPool,0x1000,Allocated
0,0x92e4a000,CM25,PagedPool,0x1000,Allocated
0,0x9364c000,CM25,PagedPool,0x1000,Allocated
0,0x93e4e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93fd6000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x943c9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94650000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x947c8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a53000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94bcb000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96658000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x967c0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91644000,ClfI,PagedPool,0x11000,Allocated
0,0x88caa000,VmRb,PagedPool,0x4000,Allocated
0,0x8509d000,Cont,NonPagedPool,0x1000,Allocated
0,0x8549c000,VoSm,NonPagedPool,0x10000,Allocated
0,0x85c9e000,Cont,NonPagedPool,0x1000,Allocated
0,0x86091000,Cont,NonPagedPool,0x1000,Allocated
0,0xa1687000,CMA,PagedPool,0x1000,Allocated
0,0x930c6000,CM25,PagedPool,0x1000,Allocated
0,0x928c0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93cc5000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x944db000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91336000,CM25,PagedPool,0x1000,Allocated
0,0x92b38000,CM25,PagedPool,0x1000,Allocated
0,0x92f39000,CM25,PagedPool,0x1000,Allocated
0,0x9373f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94723000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x948d8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b20000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94cd9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9672b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x87d65000,ArbA,PagedPool,0x1000,Allocated
0,0x88d59000,Clfs,PagedPool,0x7a08,Allocated
0,0x8bd55000,CIcr,PagedPool,0x1160,Allocated
0,0x85d6d000,Cont,NonPagedPool,0x1000,Allocated
0,0x88958000,PfLB,PagedPool,0x8000,Allocated
0,0x965a2000,CM25,PagedPool,0x1000,Allocated
0,0x92db0000,CM25,PagedPool,0x1000,Allocated
0,0x931b7000,CM25,PagedPool,0x1000,Allocated
0,0x93db4000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x92c28000,CM25,PagedPool,0x1000,Allocated
0,0x9302f000,CM25,PagedPool,0x1000,Allocated
0,0x92829000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c2c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94432000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x945aa000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94831000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x949a9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c30000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94da8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9d017000,MmRe,PagedPool,0x20a0,Allocated
0,0x9202b000,MmRe,PagedPool,0x11e8,Allocated
0,0x8b641000,CIcr,PagedPool,0x56000,Allocated
0,0x912a9000,CM25,PagedPool,0x1000,Allocated
0,0x92ea6000,CM25,PagedPool,0x1000,Allocated
0,0x936a0000,CM25,PagedPool,0x1000,Allocated
0,0x93ea2000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93519000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x92d1f000,CM25,PagedPool,0x1000,Allocated
0,0x93118000,CM25,PagedPool,0x1000,Allocated
0,0x9291e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93d1b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x942bd000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94505000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x946bc000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x94906000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94abf000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94d07000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x966b4000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x87cea000,CM16,PagedPool,0x1000,Allocated
0,0x850e1000,Cont,NonPagedPool,0x1000,Allocated
0,0x88cd6000,Ksec,PagedPool,0x2000,Allocated
0,0x8bcda000,CIcr,PagedPool,0x1fa8,Allocated
0,0x85ce2000,Cont,NonPagedPool,0x1000,Allocated
0,0x860ed000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a774000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9139a000,CM25,PagedPool,0x1000,Allocated
0,0x92b94000,CM25,PagedPool,0x1000,Allocated
0,0x92f95000,CM25,PagedPool,0x1000,Allocated
0,0x93793000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91202000,CM25,PagedPool,0x1000,Allocated
0,0x92a0c000,CM25,PagedPool,0x1000,Allocated
0,0x92e0d000,CM25,PagedPool,0x1000,Allocated
0,0x9360b000,CM25,PagedPool,0x1000,Allocated
0,0x93e09000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93f91000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94216000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9438e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94617000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9478f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a14000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b8c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9661f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96787000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91603000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x87df9000,ArbA,PagedPool,0x1000,Allocated
0,0x85df1000,Cont,NonPagedPool,0x1000,Allocated
0,0x87c51000,ArbA,PagedPool,0x1000,Allocated
0,0x88c6d000,ArbA,PagedPool,0x1000,Allocated
0,0x85c59000,Cont,NonPagedPool,0x1000,Allocated
0,0x86056000,Cont,NonPagedPool,0x1000,Allocated
0,0x861fe000,VM3D,NonPagedPool,0x1000,Allocated
0,0xa1642000,CMA,PagedPool,0x1000,Allocated
0,0x92c84000,CM25,PagedPool,0x1000,Allocated
0,0x93083000,CM25,PagedPool,0x1000,Allocated
0,0x93c80000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9449e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9489d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c9c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96496000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85ecf000,Cont,NonPagedPool,0x1000,Allocated
0,0x85d28000,Cont,NonPagedPool,0x1000,Allocated
0,0x82536000,UdEW,NonPagedPool,0x1000,Allocated
0,0x8891d000,CM16,PagedPoolCacheAligned,0x1000,Allocated
0,0xa10d4000,MmRe,PagedPool,0x1d28,Allocated
0,0x96599000,CM25,PagedPool,0x1000,Allocated
0,0x92d8b000,CM25,PagedPool,0x2000,Allocated
0,0x9318c000,CM25,PagedPool,0x1000,Allocated
0,0x9298a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93d8f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94591000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94992000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94d93000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85fde000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a7e0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85e26000,Cont,NonPagedPool,0x1000,Allocated
0,0x91276000,CM25,PagedPool,0x1000,Allocated
0,0x92e79000,CM25,PagedPool,0x1000,Allocated
0,0x9367f000,CM25,PagedPool,0x1000,Allocated
0,0x93e7d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94262000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94663000,CM31,PagedPoolCacheAligned,0x1000,Allocated
