TreeDepth,PID,Process,Base,Size,Name,Path,LoadTime,Fileoutput
0,268,smss.exe,0x47b20000,0x13000,smss.exe,\\SystemRoot\\System32\\smss.exe,N/A,Disabled
0,268,smss.exe,0x777e0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,N/A,Disabled
0,352,csrss.exe,0x49b50000,0x5000,csrss.exe,C:\\Windows\\system32\\csrss.exe,N/A,Disabled
0,352,csrss.exe,0x777e0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,N/A,Disabled
0,352,csrss.exe,0x75990000,0xd000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x75980000,0xe000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x75950000,0x2c000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x762f0000,0xc9000,USER32.dll,C:\\Windows\\system32\\USER32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x77480000,0x4e000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x75e40000,0xd4000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x75b60000,0x4a000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x774d0000,0xa000,LPK.dll,C:\\Windows\\system32\\LPK.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x760b0000,0x9d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x77210000,0xac000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x75940000,0x9000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x758c0000,0x5f000,sxs.dll,C:\\Windows\\system32\\sxs.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x76220000,0xa1000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,2023-04-24 14:41:37.000000 ,Disabled
0,352,csrss.exe,0x758b0000,0xc000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0xe20000,0x1a000,wininit.exe,C:\\Windows\\system32\\wininit.exe,N/A,Disabled
0,404,wininit.exe,0x777e0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,N/A,Disabled
0,404,wininit.exe,0x75e40000,0xd4000,kernel32.dll,C:\\Windows\\system32\\kernel32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x75b60000,0x4a000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x762f0000,0xc9000,USER32.dll,C:\\Windows\\system32\\USER32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x77480000,0x4e000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x774d0000,0xa000,LPK.dll,C:\\Windows\\system32\\LPK.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x760b0000,0x9d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x77210000,0xac000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x76220000,0xa1000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x772c0000,0x19000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x75930000,0xb000,profapi.dll,C:\\Windows\\system32\\profapi.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x762d0000,0x1f000,IMM32.DLL,C:\\Windows\\system32\\IMM32.DLL,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x77710000,0xcc000,MSCTF.dll,C:\\Windows\\system32\\MSCTF.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x75920000,0xe000,RpcRtRemote.dll,C:\\Windows\\system32\\RpcRtRemote.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x75860000,0x4c000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,2023-04-24 14:41:37.000000 ,Disabled
0,404,wininit.exe,0x758b0000,0xc000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x76150000,0x35000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x77200000,0x6000,NSI.dll,C:\\Windows\\system32\\NSI.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x752f0000,0x3c000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x74d70000,0x5000,wshtcpip.dll,C:\\Windows\\System32\\wshtcpip.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x752e0000,0x6000,wship6.dll,C:\\Windows\\System32\\wship6.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x75820000,0x8000,secur32.dll,C:\\Windows\\system32\\secur32.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x75840000,0x1b000,SSPICLI.DLL,C:\\Windows\\system32\\SSPICLI.DLL,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x75450000,0x8000,credssp.dll,C:\\Windows\\system32\\credssp.dll,2023-04-24 14:41:38.000000 ,Disabled
0,404,wininit.exe,0x77670000,0xa0000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,2023-04-24 14:41:47.000000 ,Disabled
0,412,csrss.exe,0x49b50000,0x5000,csrss.exe,C:\\Windows\\system32\\csrss.exe,N/A,Disabled
0,412,csrss.exe,0x777e0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,N/A,Disabled
0,412,csrss.exe,0x75990000,0xd000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,2023-04-24 14:41:37.000000 ,Disabled
0,412,csrss.exe,0x75980000,0xe000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,2023-04-24 14:41:37.000000 ,Disabled
