TreeDepth,Cache,FileObject,FileName,Result
0,DataSectionObject,0x85d99728,EtwRTUBPM.etl,file.0x85d99728.0x8244e3f0.DataSectionObject.EtwRTUBPM.etl.dat
0,SharedCacheMap,0x85d99728,EtwRTUBPM.etl,Error dumping file
0,DataSectionObject,0x85d99f80,EtwRTEventLog-System.etl,file.0x85d99f80.0x857ead68.DataSectionObject.EtwRTEventLog-System.etl.dat
0,SharedCacheMap,0x85d99f80,EtwRTEventLog-System.etl,Error dumping file
0,DataSectionObject,0x85a6e238,EtwRTEventLog-Application.etl,file.0x85a6e238.0x857e8678.DataSectionObject.EtwRTEventLog-Application.etl.dat
0,SharedCacheMap,0x85a6e238,EtwRTEventLog-Application.etl,Error dumping file
0,DataSectionObject,0x85ae5740,EtwRTDiagLog.etl,file.0x85ae5740.0x85acfed0.DataSectionObject.EtwRTDiagLog.etl.dat
0,SharedCacheMap,0x85ae5740,EtwRTDiagLog.etl,Error dumping file
0,DataSectionObject,0x85d99028,EtwRTEventlog-Security.etl,file.0x85d99028.0x8244e0c8.DataSectionObject.EtwRTEventlog-Security.etl.dat
0,SharedCacheMap,0x85d99028,EtwRTEventlog-Security.etl,Error dumping file
0,DataSectionObject,0x8618d278,bootstat.dat,file.0x8618d278.0x85769618.DataSectionObject.bootstat.dat.dat
0,DataSectionObject,0x902dbf80,7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0,file.0x902dbf80.0x85b31008.DataSectionObject.7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0.dat
0,SharedCacheMap,0x902dbf80,7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0,file.0x902dbf80.0x86689008.SharedCacheMap.7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0.vacb
0,DataSectionObject,0x857bf140,7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0,file.0x857bf140.0x85df6528.DataSectionObject.7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0.dat
0,SharedCacheMap,0x857bf140,7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0,file.0x857bf140.0x86686de8.SharedCacheMap.7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0.vacb
0,ImageSectionObject,0x8551ea40,ntdll.dll,file.0x8551ea40.0x8551e840.ImageSectionObject.ntdll.dll.img
0,ImageSectionObject,0x8551ea40,ntdll.dll,file.0x8551ea40.0x8551e840.ImageSectionObject.ntdll.dll.img
0,ImageSectionObject,0x8557d660,smss.exe,file.0x8557d660.0x868c46e0.ImageSectionObject.smss.exe.img
0,ImageSectionObject,0x85a5b808,apisetschema.dll,file.0x85a5b808.0x85aea198.ImageSectionObject.apisetschema.dll.img
0,ImageSectionObject,0x8552cb00,csrsrv.dll,file.0x8552cb00.0x8552c708.ImageSectionObject.csrsrv.dll.img
0,ImageSectionObject,0x85e0a410,csrss.exe,file.0x85e0a410.0x8419dd90.ImageSectionObject.csrss.exe.img
0,ImageSectionObject,0x8250b8b0,sxs.dll,file.0x8250b8b0.0x8250b458.ImageSectionObject.sxs.dll.img
0,DataSectionObject,0x8250c948,cryptbase.dll,file.0x8250c948.0x869f5948.DataSectionObject.cryptbase.dll.dat
0,ImageSectionObject,0x8250c948,cryptbase.dll,file.0x8250c948.0x8250c4c8.ImageSectionObject.cryptbase.dll.img
0,ImageSectionObject,0x8419deb8,winsrv.dll,file.0x8419deb8.0x8aca1940.ImageSectionObject.winsrv.dll.img
0,ImageSectionObject,0x841aacf0,sxssrv.dll,file.0x841aacf0.0x86274c10.ImageSectionObject.sxssrv.dll.img
0,ImageSectionObject,0x8552c4a0,basesrv.dll,file.0x8552c4a0.0x8aca1db0.ImageSectionObject.basesrv.dll.img
0,ImageSectionObject,0x8551ea40,ntdll.dll,file.0x8551ea40.0x8551e840.ImageSectionObject.ntdll.dll.img
0,ImageSectionObject,0x85620a80,user32.dll,file.0x85620a80.0x85620450.ImageSectionObject.user32.dll.img
0,ImageSectionObject,0x857e8f80,kernel32.dll,file.0x857e8f80.0x85c86610.ImageSectionObject.kernel32.dll.img
0,ImageSectionObject,0x8c1fadc0,KernelBase.dll,file.0x8c1fadc0.0x8d93b8d8.ImageSectionObject.KernelBase.dll.img
0,ImageSectionObject,0x8c19d3e8,usp10.dll,file.0x8c19d3e8.0x857e8e38.ImageSectionObject.usp10.dll.img
0,ImageSectionObject,0x859e5558,rpcrt4.dll,file.0x859e5558.0x859e5900.ImageSectionObject.rpcrt4.dll.img
0,ImageSectionObject,0x85698d80,gdi32.dll,file.0x85698d80.0x855a7e80.ImageSectionObject.gdi32.dll.img
0,ImageSectionObject,0x8563e398,msvcrt.dll,file.0x8563e398.0x85871ca8.ImageSectionObject.msvcrt.dll.img
0,ImageSectionObject,0x85692408,lpk.dll,file.0x85692408.0x85675b80.ImageSectionObject.lpk.dll.img
0,ImageSectionObject,0x85a5b808,apisetschema.dll,file.0x85a5b808.0x85aea198.ImageSectionObject.apisetschema.dll.img
0,ImageSectionObject,0x8c1fadc0,KernelBase.dll,file.0x8c1fadc0.0x8d93b8d8.ImageSectionObject.KernelBase.dll.img
