TreeDepth,Offset,Name,Size
0,0x850b8,\\Windows\\System32\\defragsvc.dll,128
0,0x85200,\\Windows\\System32\\en-US\\defragsvc.dll.mui,128
0,0x85470,\\Windows\\System32\\oleres.dll,128
0,0x855b8,\\Windows\\System32\\en-US\\oleres.dll.mui,128
0,0x859c8,\\Windows\\System32\\dhcpcore.dll,128
0,0x85c48,\\Windows\\System32\\cryptsvc.dll,128
0,0x85de8,\\Windows\\System32\\en-US\\comres.dll.mui,128
0,0x85f80,\\Windows\\System32\\en-US\\cryptsvc.dll.mui,128
0,0x119b60,\\Windows\\System32\\AxInstSv.dll,128
0,0x160a98,\\protected_storage,128
0,0x1a8ca8,\\Windows\\Fonts\\8514sys.fon,128
0,0x60e370,\\Windows\\System32\\drivers\\tssecsrv.sys,128
0,0x64f358,\\ntsvcs,128
0,0x64f410,\\ntsvcs,128
0,0x64f568,\\ntsvcs,128
0,0x64f6e8,\\Windows\\System32\\ulib.dll,128
0,0x6ce6e8,\\Windows\\System32\\en-US\\wiaservc.dll.mui,128
0,0x6ce8f8,\\Windows\\System32\\en-US\\sysmain.dll.mui,128
0,0x7061d8,\\$Directory,128
0,0x706318,\\Windows\\System32\\Microsoft\\Protect\\S-1-5-18\\User\\04ece708-132d-4bf0-a647-e3329269a012,128
0,0x7063d0,\\Windows\\System32\\en-US\\AxInstSv.dll.mui,128
0,0x706578,\\Windows\\System32\\config\\RegBack\\SAM,128
0,0x706688,\\Windows\\System32\\config\\SAM.LOG2,128
0,0x7067d8,\\Windows\\System32\\config\\SAM.LOG1,128
0,0x706928,\\Windows\\System32\\config\\SAM,128
0,0x706d88,\\Windows\\System32\\bdesvc.dll,128
0,0x7603e8,\\Windows\\System32,128
0,0x760ac0,\\Endpoint,128
0,0xd451f0,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\CustomDestinations\\5afe4de1b92fc382.customDestinations-ms,128
0,0xd455d0,\\Windows\\Fonts\\upcib.ttf,128
0,0xd457c0,\\Windows\\System32\\hcproviders.dll,128
0,0xd45ba0,\\Windows\\System32\\wscui.cpl,128
0,0xd855d0,\\Users\\Public\\Desktop,128
0,0xe931b0,\\Windows\\System32\\sppc.dll,128
0,0xe93268,\\Windows\\System32\\pngfilt.dll,128
0,0xf1be38,\\$Directory,128
0,0xf9ef80,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\i386\\TPPrnUIrus.dll,128
0,0x2bbbc98,ﾋ譕者馻ႂᥴᗿⅨ芅삄ྲྀ譖ѵ䩨乼￿嵞䟩쳿쳌쳌邐邐讐嗿׶뮀芙琐９栕蔡蒂盀嘏疋栄Ɋ,-32069
0,0x2ed4290,\\Windows\\System32\\en-US\\WsmSvc.dll.mui,128
0,0x2ed43b0,\\Windows\\System32\\winhttp.dll,128
0,0x2ed4680,\\Program Files\\Windows Defender\\MsMpRes.dll,128
0,0x2ed4998,\\$Directory,128
0,0x2ed4d40,\\$Directory,128
0,0x2ed4e88,\\Windows\\System32\\en-US\\wersvc.dll.mui,128
0,0x2f69038,\\Windows\\System32\\wbem\\WMIADAP.exe,128
0,0x2f69350,\\Windows\\System32\\IDStore.dll,128
0,0x2f697e0,\\$Directory,128
0,0x3a141e0,\\Windows\\System32\\en-US\\tbssvc.dll.mui,128
0,0x3a145a8,\\Windows\\System32\\en-US\\tapisrv.dll.mui,128
0,0x3a14d38,\\Windows\\System32\\tapisrv.dll,128
0,0x3a54eb8,\\Windows\\System32\\swprv.dll,128
0,0x3a930a8,\\Windows\\System32\\spoolsv.exe,128
0,0x3a93160,\\Windows\\System32\\en-US\\tcpipcfg.dll.mui,128
0,0x3a93370,\\Windows\\System32\\sppsvc.exe,128
0,0x3a939e0,\\Windows\\System32\\snmptrap.exe,128
0,0x3a93dd0,\\Windows\\System32\\en-US\\ipnathlp.dll.mui,128
0,0x3a93f80,\\Windows\\System32\\shsvcs.dll,128
0,0x3a95d58,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\\comctl32.dll,128
0,0x3a9a258,\\Users\\Public\\Music\\Sample Music\\Sleep Away.mp3,128
0,0x3a9a310,\\Windows\\System32\\WFS.exe,128
0,0x3a9a3c8,\\Users\\Public\\Music\\Sample Music\\Kalimba.mp3,128
0,0x3aaf168,\\Windows\\System32\\migwiz\\en-US\\wet.dll.mui,128
0,0x3aaf640,\\$Directory,128
0,0x3aaf828,\\Windows\\System32\\en-US\\miguiresource.dll.mui,128
0,0x3aaf9d8,\\Windows\\System32\\miguiresource.dll,128
0,0x3aafa90,\\Windows\\System32\\en-US\\mycomput.dll.mui,128
0,0x3aafdc0,\\Windows\\System32\\en-US\\rstrui.exe.mui,128
0,0x3b2a160,\\$Directory,128
0,0x3b2a4d0,\\Windows\\System32\\mycomput.dll,128
0,0x3b2a918,\\Windows\\System32\\filemgmt.dll,128
0,0x3b2a9d0,\\Windows\\System32\\dhcpcsvc6.dll,128
0,0x3b6d2c0,\\Windows\\System32\\en-US\\oobefldr.dll.mui,128
0,0x3b6d470,\\Windows\\System32\\OobeFldr.dll,128
0,0x3b6d680,\\Windows\\System32\\en-US\\DfrgUI.exe.mui,128
0,0x3b6d868,\\Windows\\System32\\en-US\\SyncCenter.dll.mui,128
0,0x3b6da18,\\Windows\\System32\\SyncCenter.dll,128
0,0x3b6dec8,\\Windows\\System32\\SoundRecorder.exe,128
0,0x4425398,\\Windows\\winsxs\\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57,128
0,0x45165c8,\\Program Files\\Windows Mail\\wab.exe,128
0,0x4588270,\\Windows\\System32,128
0,0x4588398,\\Windows\\System32\\en-US\\sysmain.dll.mui,128
0,0x4588738,\\$Directory,128
0,0x4588890,\\$Directory,128
0,0x4588948,\\Windows\\System32\\sspisrv.dll,128
0,0x4588c00,\\Windows\\System32\\drivers\\en-US\\afd.sys.mui,128
0,0x4588f20,\\Windows\\System32\\en-US\\aelupsvc.dll.mui,128
0,0x4618240,\\Windows\\System32\\ubpm.dll,128
0,0x4618978,\\scerpc,128
0,0x4618a30,\\scerpc,128
0,0x4618ba0,\\scerpc,128
0,0x461d378,\\$Directory,128
0,0x461d430,\\Windows\\System32\\svchost.exe,128
0,0x469c038,\\Windows\\System32\\en-US\\VSSVC.exe.mui,128
0,0x469c338,\\Windows\\System32\\wbengine.exe,128
0,0x469c618,\\Windows\\System32\\en-US\\w32time.dll.mui,128
0,0x469ca40,\\Windows\\System32\\drivers\\vwifibus.sys,128
0,0x469cc50,\\Windows\\System32\\drivers\\en-US\\vwifibus.sys.mui,128
0,0x469cec8,\\Windows\\System32\\en-US\\ui0detect.exe.mui,128
0,0x469cf80,\\Windows\\System32\\UI0Detect.exe,128
0,0x46b16f8,\\Windows\\System32\\drivers\\mpsdrv.sys,128
0,0x46b1df8,\\Windows\\Prefetch\\SPPSVC.EXE-CBE91656.pf,128
0,0x47dd428,\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\VGAuthService.exe,128
0,0x47dd4e0,\\Windows\\System32\\vds.exe,128
0,0x47dd660,\\Windows\\System32\\drivers\\volmgrx.sys,128
0,0x47dd848,\\Windows\\System32\\en-US\\vaultsvc.dll.mui,128
0,0x47ddba0,\\Windows\\System32\\en-US\\upnphost.dll.mui,128
0,0x47ddd70,\\Windows\\System32\\vaultsvc.dll,128
0,0x47dde28,\\Windows\\System32\\upnphost.dll,128
0,0x4939270,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\i386\\TPPrnUIita.dll,128
0,0x4939648,\\Users\\Hoxed\\Favorites\\Microsoft Websites\\Microsoft Store.url,128
0,0x4939998,\\Endpoint,128
0,0x4939b48,\\$Directory,128
0,0x4939ca0,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\System.EnterpriseSe#\\887ef2648686aad19feff405eddbffd2\\System.EnterpriseServices.ni.dll,128
0,0x4957578,\\Windows\\System32\\mssitlb.dll,128
0,0x4957970,\\Windows\\System32\\drivers\\en-US\\volmgrx.sys.mui,128
0,0x4957e00,\\Windows\\System32\\VSSVC.exe,128
0,0x4957f80,\\Windows\\System32\\en-US\\vds.exe.mui,128
0,0x497a038,\\Windows\\Tasks\\SA.DAT,128
0,0x497a360,\\Windows\\Tasks,128
0,0x497a418,\\atsvc,128
0,0x4997300,\\Windows\\System32\\drivers\\mouhid.sys,128
0,0x4997f80,\\Windows\\System32\\tbssvc.dll,128
0,0x49df2d8,\\Windows\\System32\\wersvc.dll,128
0,0x49df420,\\Windows\\System32\\en-US\\winhttp.dll.mui,128
0,0x49df710,\\Windows\\System32\\en-US\\wercplsupport.dll.mui,128
0,0x49df7c8,\\Windows\\System32\\wecsvc.dll,128
0,0x49df8a8,\\Windows\\System32\\wercplsupport.dll,128
0,0x49dfaa8,\\Windows\\System32\\en-US\\wecsvc.dll.mui,128
0,0x4a6c7f0,\\Users\\Hoxed\\ntuser.dat.LOG2,128
0,0x4acd1f0,\\Windows\\System32\\mlang.dll,128
