TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
0,0x81e1e050,FILE,1144,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 02:37:06.000000 ,2009-07-14 02:37:06.000000 ,2023-04-25 01:34:30.000000 ,2009-07-14 02:37:06.000000 ,N/A
1,0x81e1e0b0,FILE,1144,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,zh-HK
0,0x81e1e450,FILE,1145,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 02:37:06.000000 ,2009-07-14 02:37:06.000000 ,2023-04-25 01:34:30.000000 ,2009-07-14 02:37:06.000000 ,N/A
1,0x81e1e4b0,FILE,1145,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,zh-TW
0,0x81e1e850,FILE,1146,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 02:37:06.000000 ,2009-07-14 04:52:30.000000 ,2023-04-25 01:34:30.000000 ,2009-07-14 04:52:30.000000 ,N/A
1,0x81e1e8b0,FILE,1146,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,Branding
0,0x81e1ec50,FILE,1147,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 04:52:30.000000 ,2010-11-21 00:46:41.000000 ,2023-04-25 01:34:30.000000 ,2010-11-21 00:46:49.000000 ,N/A
1,0x81e1ecb0,FILE,1147,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,Basebrd
0,0x81e1f050,FILE,1148,1,DirInUse,N/A,STANDARD_INFORMATION,2010-11-21 00:38:49.000000 ,2010-11-21 00:46:41.000000 ,2023-04-25 01:34:30.000000 ,2010-11-21 00:46:53.000000 ,N/A
1,0x81e1f0b0,FILE,1148,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,en-US
0,0x81e1f450,FILE,1149,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 02:37:06.000000 ,2010-11-21 00:46:41.000000 ,2023-04-25 01:34:30.000000 ,2010-11-21 00:46:53.000000 ,N/A
1,0x81e1f4b0,FILE,1149,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,ShellBrd
0,0x81e1f850,FILE,1150,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 02:37:06.000000 ,2009-07-14 04:52:31.000000 ,2023-04-25 01:34:30.000000 ,2009-07-14 04:52:31.000000 ,N/A
1,0x81e1f8b0,FILE,1150,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,Cursors
0,0x81e1fc50,FILE,1151,1,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 04:34:21.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,N/A
1,0x81e1fcb0,FILE,1151,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,debug
0,0x81e2a050,FILE,1192,2,DirInUse,N/A,STANDARD_INFORMATION,2010-11-21 00:38:49.000000 ,2010-11-21 00:38:49.000000 ,2023-04-25 01:34:30.000000 ,2010-11-21 00:38:49.000000 ,N/A
1,0x81e2a0b0,FILE,1192,2,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,DIGITA~1
1,0x81e2a120,FILE,1192,2,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,DigitalLocker
0,0x81e2a450,FILE,1193,1,DirInUse,N/A,STANDARD_INFORMATION,2010-11-21 00:38:49.000000 ,2010-11-21 00:38:49.000000 ,2023-04-25 01:34:30.000000 ,2010-11-21 00:38:54.000000 ,N/A
1,0x81e2a4b0,FILE,1193,1,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,en-US
0,0x81e2a850,FILE,1194,2,DirInUse,N/A,STANDARD_INFORMATION,2009-07-14 04:52:30.000000 ,2009-07-14 04:52:31.000000 ,2023-04-25 01:34:30.000000 ,2009-07-14 04:52:31.000000 ,N/A
1,0x81e2a8b0,FILE,1194,2,DirInUse,0x0,FILE_NAME,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,DOWNLO~1
