TreeDepth,Offset,Base,Size,Name,Path,Fileoutput
0,0x84131c98,0x82851000,0x412000,ntoskrnl.exe,\\SystemRoot\\system32\\ntkrnlpa.exe,Disabled
0,0x84131c20,0x8281a000,0x37000,hal.dll,\\SystemRoot\\system32\\halmacpi.dll,Disabled
0,0x84131ba0,0x80bd1000,0x8000,kdcom.dll,\\SystemRoot\\system32\\kdcom.dll,Disabled
0,0x84131b20,0x82e33000,0x85000,mcupdate.dll,\\SystemRoot\\system32\\mcupdate_GenuineIntel.dll,Disabled
0,0x84131aa0,0x82eb8000,0x11000,PSHED.dll,\\SystemRoot\\system32\\PSHED.dll,Disabled
0,0x84131a20,0x82ec9000,0x8000,BOOTVID.dll,\\SystemRoot\\system32\\BOOTVID.dll,Disabled
0,0x841319a8,0x82ed1000,0x42000,CLFS.SYS,\\SystemRoot\\system32\\CLFS.SYS,Disabled
0,0x84131930,0x82f13000,0xab000,CI.dll,\\SystemRoot\\system32\\CI.dll,Disabled
0,0x841318b0,0x86a27000,0x71000,Wdf01000.sys,\\SystemRoot\\system32\\drivers\\Wdf01000.sys,Disabled
0,0x84131830,0x86a98000,0xe000,WDFLDR.SYS,\\SystemRoot\\system32\\drivers\\WDFLDR.SYS,Disabled
0,0x841317b8,0x86aa6000,0x48000,ACPI.sys,\\SystemRoot\\system32\\drivers\\ACPI.sys,Disabled
0,0x84131738,0x86aee000,0x9000,WMILIB.SYS,\\SystemRoot\\system32\\drivers\\WMILIB.SYS,Disabled
0,0x841316b8,0x86af7000,0x8000,msisadrv.sys,\\SystemRoot\\system32\\drivers\\msisadrv.sys,Disabled
0,0x8412bd80,0x86aff000,0x2a000,pci.sys,\\SystemRoot\\system32\\drivers\\pci.sys,Disabled
0,0x8412bd00,0x86b29000,0xb000,vdrvroot.sys,\\SystemRoot\\system32\\drivers\\vdrvroot.sys,Disabled
0,0x8412bc80,0x86b34000,0x11000,partmgr.sys,\\SystemRoot\\System32\\drivers\\partmgr.sys,Disabled
0,0x8412bc00,0x86b45000,0x8000,compbatt.sys,\\SystemRoot\\system32\\DRIVERS\\compbatt.sys,Disabled
0,0x8412bb80,0x86b4d000,0xb000,BATTC.SYS,\\SystemRoot\\system32\\DRIVERS\\BATTC.SYS,Disabled
0,0x8412bb00,0x86b58000,0x10000,volmgr.sys,\\SystemRoot\\system32\\drivers\\volmgr.sys,Disabled
0,0x8412ba80,0x86b68000,0x4b000,volmgrx.sys,\\SystemRoot\\System32\\drivers\\volmgrx.sys,Disabled
0,0x8412ba00,0x86bb3000,0x7000,intelide.sys,\\SystemRoot\\system32\\drivers\\intelide.sys,Disabled
0,0x8412b980,0x86bba000,0xe000,PCIIDEX.SYS,\\SystemRoot\\system32\\drivers\\PCIIDEX.SYS,Disabled
0,0x8412b908,0x86bc8000,0x15000,vmci.sys,\\SystemRoot\\system32\\DRIVERS\\vmci.sys,Disabled
0,0x8412b888,0x86bdd000,0x13000,vsock.sys,\\SystemRoot\\system32\\DRIVERS\\vsock.sys,Disabled
0,0x8412b808,0x86a00000,0x16000,mountmgr.sys,\\SystemRoot\\System32\\drivers\\mountmgr.sys,Disabled
0,0x8412b788,0x86a16000,0x9000,atapi.sys,\\SystemRoot\\system32\\drivers\\atapi.sys,Disabled
0,0x8412b708,0x82fbe000,0x23000,ataport.SYS,\\SystemRoot\\system32\\drivers\\ataport.SYS,Disabled
0,0x8412b688,0x82fe1000,0x18000,lsi_sas.sys,\\SystemRoot\\system32\\drivers\\lsi_sas.sys,Disabled
0,0x8412b608,0x86c05000,0x48000,storport.sys,\\SystemRoot\\system32\\drivers\\storport.sys,Disabled
0,0x8412b588,0x86c4d000,0xa000,msahci.sys,\\SystemRoot\\system32\\drivers\\msahci.sys,Disabled
0,0x8412b508,0x86c57000,0x9000,amdxata.sys,\\SystemRoot\\system32\\drivers\\amdxata.sys,Disabled
0,0x8412b488,0x86c60000,0x34000,fltmgr.sys,\\SystemRoot\\system32\\drivers\\fltmgr.sys,Disabled
0,0x8412b408,0x86c94000,0x11000,fileinfo.sys,\\SystemRoot\\system32\\drivers\\fileinfo.sys,Disabled
0,0x8412b390,0x86ca5000,0x12f000,Ntfs.sys,\\SystemRoot\\System32\\Drivers\\Ntfs.sys,Disabled
0,0x8412b310,0x86dd4000,0x2b000,msrpc.sys,\\SystemRoot\\System32\\Drivers\\msrpc.sys,Disabled
0,0x8412b290,0x82e00000,0x13000,ksecdd.sys,\\SystemRoot\\System32\\Drivers\\ksecdd.sys,Disabled
0,0x8412b218,0x86e39000,0x5d000,cng.sys,\\SystemRoot\\System32\\Drivers\\cng.sys,Disabled
0,0x8412b1a0,0x86e96000,0xe000,pcw.sys,\\SystemRoot\\System32\\drivers\\pcw.sys,Disabled
0,0x8412b120,0x86ea4000,0x9000,Fs_Rec.sys,\\SystemRoot\\System32\\Drivers\\Fs_Rec.sys,Disabled
0,0x8412b0a8,0x86ead000,0xb7000,ndis.sys,\\SystemRoot\\system32\\drivers\\ndis.sys,Disabled
0,0x84132008,0x86f64000,0x3e000,NETIO.SYS,\\SystemRoot\\system32\\drivers\\NETIO.SYS,Disabled
0,0x84132f88,0x86fa2000,0x25000,ksecpkg.sys,\\SystemRoot\\System32\\Drivers\\ksecpkg.sys,Disabled
0,0x84132f08,0x87019000,0x14a000,tcpip.sys,\\SystemRoot\\System32\\drivers\\tcpip.sys,Disabled
0,0x84132e88,0x87163000,0x31000,fwpkclnt.sys,\\SystemRoot\\System32\\drivers\\fwpkclnt.sys,Disabled
0,0x84132e08,0x87194000,0x3f000,volsnap.sys,\\SystemRoot\\system32\\drivers\\volsnap.sys,Disabled
0,0x84132d88,0x871d3000,0x8000,spldr.sys,\\SystemRoot\\System32\\Drivers\\spldr.sys,Disabled
0,0x84132d08,0x86fc7000,0x2d000,rdyboost.sys,\\SystemRoot\\System32\\drivers\\rdyboost.sys,Disabled
0,0x8412b030,0x871db000,0x10000,mup.sys,\\SystemRoot\\System32\\Drivers\\mup.sys,Disabled
0,0x84132c88,0x871eb000,0x8000,hwpolicy.sys,\\SystemRoot\\System32\\drivers\\hwpolicy.sys,Disabled
0,0x84132c08,0x86e00000,0x32000,fvevol.sys,\\SystemRoot\\System32\\DRIVERS\\fvevol.sys,Disabled
0,0x84132b90,0x87000000,0x11000,disk.sys,\\SystemRoot\\system32\\drivers\\disk.sys,Disabled
0,0x84132b10,0x8722c000,0x25000,CLASSPNP.SYS,\\SystemRoot\\system32\\drivers\\CLASSPNP.SYS,Disabled
0,0x84132a90,0x87251000,0x10000,agp440.sys,\\SystemRoot\\system32\\DRIVERS\\agp440.sys,Disabled
0,0x855d6220,0x872a1000,0x1f000,cdrom.sys,\\SystemRoot\\system32\\DRIVERS\\cdrom.sys,Disabled
0,0x8615c900,0x872c0000,0x7000,Null.SYS,\\SystemRoot\\System32\\Drivers\\Null.SYS,Disabled
0,0x864c6938,0x872c7000,0x7000,Beep.SYS,\\SystemRoot\\System32\\Drivers\\Beep.SYS,Disabled
0,0x864c6250,0x872ce000,0xd000,vmrawdsk.sys,\\SystemRoot\\system32\\DRIVERS\\vmrawdsk.sys,Disabled
0,0x865645b0,0x872db000,0xc000,vga.sys,\\SystemRoot\\System32\\drivers\\vga.sys,Disabled
0,0x855b0a18,0x872e7000,0x21000,VIDEOPRT.SYS,\\SystemRoot\\System32\\drivers\\VIDEOPRT.SYS,Disabled
0,0x86564f88,0x87308000,0xd000,watchdog.sys,\\SystemRoot\\System32\\drivers\\watchdog.sys,Disabled
0,0x864c6668,0x87315000,0x8000,RDPCDD.sys,\\SystemRoot\\System32\\DRIVERS\\RDPCDD.sys,Disabled
0,0x866bfbc0,0x8731d000,0x8000,rdpencdd.sys,\\SystemRoot\\system32\\drivers\\rdpencdd.sys,Disabled
0,0x855b28e0,0x87325000,0x8000,rdprefmp.sys,\\SystemRoot\\system32\\drivers\\rdprefmp.sys,Disabled
0,0x866bf620,0x8732d000,0xb000,Msfs.SYS,\\SystemRoot\\System32\\Drivers\\Msfs.SYS,Disabled
0,0x857174e0,0x87338000,0xe000,Npfs.SYS,\\SystemRoot\\System32\\Drivers\\Npfs.SYS,Disabled
0,0x857287d8,0x87346000,0x17000,tdx.sys,\\SystemRoot\\system32\\DRIVERS\\tdx.sys,Disabled
0,0x85712008,0x8735d000,0xc000,TDI.SYS,\\SystemRoot\\system32\\DRIVERS\\TDI.SYS,Disabled
0,0x85712660,0x87369000,0x5a000,afd.sys,\\SystemRoot\\system32\\drivers\\afd.sys,Disabled
0,0x85712400,0x873c3000,0x32000,netbt.sys,\\SystemRoot\\System32\\DRIVERS\\netbt.sys,Disabled
0,0x868c2650,0x873f5000,0x9000,ws2ifsl.sys,\\SystemRoot\\system32\\drivers\\ws2ifsl.sys,Disabled
0,0x85714100,0x87200000,0x7000,wfplwf.sys,\\SystemRoot\\system32\\DRIVERS\\wfplwf.sys,Disabled
0,0x868c4e98,0x87207000,0x1f000,pacer.sys,\\SystemRoot\\system32\\DRIVERS\\pacer.sys,Disabled
0,0x85714be0,0x86bf0000,0xe000,netbios.sys,\\SystemRoot\\system32\\DRIVERS\\netbios.sys,Disabled
0,0x85714960,0x82e13000,0x1a000,serial.sys,\\SystemRoot\\system32\\DRIVERS\\serial.sys,Disabled
0,0x85603740,0x9380a000,0x13000,wanarp.sys,\\SystemRoot\\system32\\DRIVERS\\wanarp.sys,Disabled
0,0x8c088c58,0x9381d000,0x11000,termdd.sys,\\SystemRoot\\system32\\DRIVERS\\termdd.sys,Disabled
0,0x8c0880d8,0x9382e000,0x41000,rdbss.sys,\\SystemRoot\\system32\\DRIVERS\\rdbss.sys,Disabled
0,0x85761578,0x9386f000,0xa000,nsiproxy.sys,\\SystemRoot\\system32\\drivers\\nsiproxy.sys,Disabled
0,0x869fe038,0x93879000,0xa000,mssmbios.sys,\\SystemRoot\\system32\\DRIVERS\\mssmbios.sys,Disabled
0,0x855fbf88,0x93883000,0xc000,discache.sys,\\SystemRoot\\System32\\drivers\\discache.sys,Disabled
0,0x85522688,0x9388f000,0x18000,dfsc.sys,\\SystemRoot\\System32\\Drivers\\dfsc.sys,Disabled
0,0x855ac2f8,0x938a7000,0xe000,blbdrive.sys,\\SystemRoot\\system32\\DRIVERS\\blbdrive.sys,Disabled
0,0x85497aa8,0x938b5000,0x21000,tunnel.sys,\\SystemRoot\\system32\\DRIVERS\\tunnel.sys,Disabled
0,0x8559c3e0,0x938d6000,0x18000,i8042prt.sys,\\SystemRoot\\system32\\DRIVERS\\i8042prt.sys,Disabled
0,0x855ed3c8,0x938ee000,0xd000,kbdclass.sys,\\SystemRoot\\system32\\DRIVERS\\kbdclass.sys,Disabled
0,0x855e5ee0,0x938fb000,0x8000,vmmouse.sys,\\SystemRoot\\system32\\DRIVERS\\vmmouse.sys,Disabled
0,0x85632c80,0x93903000,0xd000,mouclass.sys,\\SystemRoot\\system32\\DRIVERS\\mouclass.sys,Disabled
0,0x855cd370,0x93910000,0xa000,serenum.sys,\\SystemRoot\\system32\\DRIVERS\\serenum.sys,Disabled
0,0x855eaba0,0x9391a000,0xb000,fdc.sys,\\SystemRoot\\system32\\DRIVERS\\fdc.sys,Disabled
0,0x85523ee0,0x93925000,0x2c000,vm3dmp.sys,\\SystemRoot\\system32\\DRIVERS\\vm3dmp.sys,Disabled
0,0x85593c78,0x8c615000,0xb7000,dxgkrnl.sys,\\SystemRoot\\System32\\drivers\\dxgkrnl.sys,Disabled
0,0x855c5a48,0x8c6cc000,0x39000,dxgmms1.sys,\\SystemRoot\\System32\\drivers\\dxgmms1.sys,Disabled
0,0x8559ec78,0x8c705000,0xb000,usbuhci.sys,\\SystemRoot\\system32\\DRIVERS\\usbuhci.sys,Disabled
0,0x855a4798,0x8c710000,0x4b000,USBPORT.SYS,\\SystemRoot\\system32\\DRIVERS\\USBPORT.SYS,Disabled
0,0x855cee50,0x8c75b000,0x1d000,E1G60I32.sys,\\SystemRoot\\system32\\DRIVERS\\E1G60I32.sys,Disabled
0,0x85594da8,0x8c778000,0x1f000,HDAudBus.sys,\\SystemRoot\\system32\\DRIVERS\\HDAudBus.sys,Disabled
0,0x855090d8,0x8c797000,0xf000,usbehci.sys,\\SystemRoot\\system32\\DRIVERS\\usbehci.sys,Disabled
0,0x8c1ff308,0x8c7a6000,0x4000,CmBatt.sys,\\SystemRoot\\system32\\DRIVERS\\CmBatt.sys,Disabled
0,0x855cdee0,0x8c7aa000,0x12000,intelppm.sys,\\SystemRoot\\system32\\DRIVERS\\intelppm.sys,Disabled
0,0x85769430,0x8c7bc000,0xd000,CompositeBus.sys,\\SystemRoot\\system32\\DRIVERS\\CompositeBus.sys,Disabled
0,0x8559f628,0x8c7c9000,0x12000,AgileVpn.sys,\\SystemRoot\\system32\\DRIVERS\\AgileVpn.sys,Disabled
0,0x856241f0,0x8c7db000,0x18000,rasl2tp.sys,\\SystemRoot\\system32\\DRIVERS\\rasl2tp.sys,Disabled
0,0x8559bb50,0x8c7f3000,0xb000,ndistapi.sys,\\SystemRoot\\system32\\DRIVERS\\ndistapi.sys,Disabled
0,0x8565c0b0,0x93951000,0x22000,ndiswan.sys,\\SystemRoot\\system32\\DRIVERS\\ndiswan.sys,Disabled
0,0x8559e698,0x93973000,0x18000,raspppoe.sys,\\SystemRoot\\system32\\DRIVERS\\raspppoe.sys,Disabled
0,0x85a592f0,0x9398b000,0x17000,raspptp.sys,\\SystemRoot\\system32\\DRIVERS\\raspptp.sys,Disabled
0,0x86565408,0x939a2000,0x17000,rassstp.sys,\\SystemRoot\\system32\\DRIVERS\\rassstp.sys,Disabled
0,0x85637ee0,0x8c7fe000,0x2000,swenum.sys,\\SystemRoot\\system32\\DRIVERS\\swenum.sys,Disabled
0,0x855ea470,0x939b9000,0x34000,ks.sys,\\SystemRoot\\system32\\DRIVERS\\ks.sys,Disabled
0,0x8c8385d0,0x8c600000,0xe000,umbus.sys,\\SystemRoot\\system32\\DRIVERS\\umbus.sys,Disabled
0,0x8c0820b0,0x939ed000,0xa000,flpydisk.sys,\\SystemRoot\\system32\\DRIVERS\\flpydisk.sys,Disabled
