TreeDepth,Tag,Offset,Layer,Name
0,symbol_table_name1!_FILE_OBJECT,0x85080,memory_layer,\\Windows\\System32\\defragsvc.dll
0,symbol_table_name1!_FILE_OBJECT,0x851c8,memory_layer,\\Windows\\System32\\en-US\\defragsvc.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x85438,memory_layer,\\Windows\\System32\\oleres.dll
0,symbol_table_name1!_FILE_OBJECT,0x85580,memory_layer,\\Windows\\System32\\en-US\\oleres.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x85990,memory_layer,\\Windows\\System32\\dhcpcore.dll
0,symbol_table_name1!_FILE_OBJECT,0x85c10,memory_layer,\\Windows\\System32\\cryptsvc.dll
0,symbol_table_name1!_FILE_OBJECT,0x85db0,memory_layer,\\Windows\\System32\\en-US\\comres.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x85f48,memory_layer,\\Windows\\System32\\en-US\\cryptsvc.dll.mui
0,symbol_table_name1!_CMHIVE,0x1179c0,memory_layer,N/A
0,symbol_table_name1!_EPROCESS,0x118000,memory_layer,notepad.exe
0,symbol_table_name1!_FILE_OBJECT,0x119b28,memory_layer,\\Windows\\System32\\AxInstSv.dll
0,symbol_table_name1!_FILE_OBJECT,0x160a60,memory_layer,\\protected_storage
0,symbol_table_name1!_FILE_OBJECT,0x1a8c70,memory_layer,\\Windows\\Fonts\\8514sys.fon
0,symbol_table_name1!_OBJECT_SYMBOLIC_LINK,0x2f1388,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x60e338,memory_layer,\\Windows\\System32\\drivers\\tssecsrv.sys
0,symbol_table_name1!_FILE_OBJECT,0x64f320,memory_layer,\\ntsvcs
0,symbol_table_name1!_FILE_OBJECT,0x64f3d8,memory_layer,\\ntsvcs
0,symbol_table_name1!_FILE_OBJECT,0x64f530,memory_layer,\\ntsvcs
0,symbol_table_name1!_FILE_OBJECT,0x64f6b0,memory_layer,\\Windows\\System32\\ulib.dll
0,symbol_table_name1!_KMUTANT,0x65c938,memory_layer,N/A
0,symbol_table_name1!_KMUTANT,0x65ca00,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x6ce000,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x6ce6b0,memory_layer,\\Windows\\System32\\en-US\\wiaservc.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x6ce8c0,memory_layer,\\Windows\\System32\\en-US\\sysmain.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x7061a0,memory_layer,\\$Directory
0,symbol_table_name1!_FILE_OBJECT,0x7062e0,memory_layer,\\Windows\\System32\\Microsoft\\Protect\\S-1-5-18\\User\\04ece708-132d-4bf0-a647-e3329269a012
0,symbol_table_name1!_FILE_OBJECT,0x706398,memory_layer,\\Windows\\System32\\en-US\\AxInstSv.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x706550,memory_layer,\\Windows\\System32\\config\\RegBack\\SAM
0,symbol_table_name1!_FILE_OBJECT,0x706660,memory_layer,\\Windows\\System32\\config\\SAM.LOG2
0,symbol_table_name1!_FILE_OBJECT,0x7067b0,memory_layer,\\Windows\\System32\\config\\SAM.LOG1
0,symbol_table_name1!_FILE_OBJECT,0x706900,memory_layer,\\Windows\\System32\\config\\SAM
0,symbol_table_name1!_FILE_OBJECT,0x706d50,memory_layer,\\Windows\\System32\\bdesvc.dll
0,symbol_table_name1!_FILE_OBJECT,0x7603b0,memory_layer,\\Windows\\System32
0,symbol_table_name1!_FILE_OBJECT,0x760a88,memory_layer,\\Endpoint
0,symbol_table_name1!_FILE_OBJECT,0xd451b8,memory_layer,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\CustomDestinations\\5afe4de1b92fc382.customDestinations-ms
0,symbol_table_name1!_FILE_OBJECT,0xd45598,memory_layer,\\Windows\\Fonts\\upcib.ttf
0,symbol_table_name1!_FILE_OBJECT,0xd45788,memory_layer,\\Windows\\System32\\hcproviders.dll
0,symbol_table_name1!_FILE_OBJECT,0xd45b68,memory_layer,\\Windows\\System32\\wscui.cpl
0,symbol_table_name1!_FILE_OBJECT,0xd85598,memory_layer,\\Users\\Public\\Desktop
0,symbol_table_name1!_FILE_OBJECT,0xe93178,memory_layer,\\Windows\\System32\\sppc.dll
0,symbol_table_name1!_FILE_OBJECT,0xe93230,memory_layer,\\Windows\\System32\\pngfilt.dll
0,symbol_table_name1!_EPROCESS,0xe93b90,memory_layer,svchost.exe
0,symbol_table_name1!_FILE_OBJECT,0xf1be00,memory_layer,\\$Directory
0,symbol_table_name1!_FILE_OBJECT,0xf9ef48,memory_layer,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\i386\\TPPrnUIrus.dll
0,symbol_table_name1!_OBJECT_SYMBOLIC_LINK,0x1b40478,memory_layer,N/A
0,symbol_table_name1!_OBJECT_SYMBOLIC_LINK,0x1b40e00,memory_layer,N/A
0,symbol_table_name1!_CMHIVE,0x1c1a000,memory_layer,N/A
0,symbol_table_name1!_OBJECT_SYMBOLIC_LINK,0x1c3f5c0,memory_layer,N/A
0,symbol_table_name1!_OBJECT_SYMBOLIC_LINK,0x1cb6450,memory_layer,N/A
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x28694ee,memory_layer,N/A
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x2a16e62,memory_layer,N/A
0,symbol_table_name1!_LDR_DATA_TABLE_ENTRY,0x2a1ab79,memory_layer,N/A
0,symbol_table_name1!_CMHIVE,0x2a1fb4e,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x2bbb178,memory_layer,ﾋ譕者馻ႂᥴᗿⅨ芅삄ྲྀ譖ѵ䩨乼￿嵞䟩쳿쳌쳌邐邐讐嗿׶뮀芙琐９栕蔡蒂盀嘏疋栄Ɋ
0,symbol_table_name1!_FILE_OBJECT,0x2ed4258,memory_layer,\\Windows\\System32\\en-US\\WsmSvc.dll.mui
0,symbol_table_name1!_FILE_OBJECT,0x2ed4378,memory_layer,\\Windows\\System32\\winhttp.dll
