TreeDepth,PID,Process,Value,Privilege,Attributes,Description
0,4,System,2,SeCreateTokenPrivilege,Present,Create a token object
0,4,System,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,4,System,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,4,System,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,4,System,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,4,System,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,4,System,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,4,System,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,4,System,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,4,System,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,4,System,12,SeSystemtimePrivilege,Present,Change the system time
0,4,System,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,4,System,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,4,System,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,4,System,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,4,System,17,SeBackupPrivilege,Present,Backup files and directories
0,4,System,18,SeRestorePrivilege,Present,Restore files and directories
0,4,System,19,SeShutdownPrivilege,Present,Shut down the system
0,4,System,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,4,System,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,4,System,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,4,System,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,4,System,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,4,System,25,SeUndockPrivilege,Present,Remove computer from docking station
0,4,System,26,SeSyncAgentPrivilege,,Synch directory service data
0,4,System,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,4,System,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,4,System,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,4,System,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,4,System,31,SeTrustedCredManAccessPrivilege,Present,Access Credential Manager as a trusted caller
0,4,System,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,4,System,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,4,System,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,4,System,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,4,System,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,268,smss.exe,2,SeCreateTokenPrivilege,Present,Create a token object
0,268,smss.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,268,smss.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,268,smss.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,268,smss.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,268,smss.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,268,smss.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,268,smss.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,268,smss.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,268,smss.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,268,smss.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,268,smss.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,268,smss.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,268,smss.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,268,smss.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,268,smss.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,268,smss.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,268,smss.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,268,smss.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,268,smss.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,268,smss.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,268,smss.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,268,smss.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,268,smss.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,268,smss.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,268,smss.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,268,smss.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,268,smss.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,268,smss.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,268,smss.exe,31,SeTrustedCredManAccessPrivilege,Present,Access Credential Manager as a trusted caller
0,268,smss.exe,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,268,smss.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,268,smss.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,268,smss.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,268,smss.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,352,csrss.exe,2,SeCreateTokenPrivilege,Present,Create a token object
0,352,csrss.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,352,csrss.exe,4,SeLockMemoryPrivilege,"Present,Enabled,Default",Lock pages in memory
0,352,csrss.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,352,csrss.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,352,csrss.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,352,csrss.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,352,csrss.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,352,csrss.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,352,csrss.exe,11,SeSystemProfilePrivilege,"Present,Enabled,Default",Profile system performance
0,352,csrss.exe,12,SeSystemtimePrivilege,Present,Change the system time
0,352,csrss.exe,13,SeProfileSingleProcessPrivilege,"Present,Enabled,Default",Profile a single process
0,352,csrss.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,352,csrss.exe,15,SeCreatePagefilePrivilege,"Present,Enabled,Default",Create a pagefile
0,352,csrss.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,352,csrss.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,352,csrss.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,352,csrss.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,352,csrss.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,352,csrss.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,352,csrss.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,352,csrss.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,352,csrss.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,352,csrss.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,352,csrss.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,352,csrss.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,352,csrss.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,352,csrss.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,352,csrss.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
0,352,csrss.exe,31,SeTrustedCredManAccessPrivilege,,Access Credential Manager as a trusted caller
0,352,csrss.exe,32,SeRelabelPrivilege,Present,Modify the mandatory integrity level of an object
0,352,csrss.exe,33,SeIncreaseWorkingSetPrivilege,"Present,Enabled,Default",Allocate more memory for user applications
0,352,csrss.exe,34,SeTimeZonePrivilege,"Present,Enabled,Default",Adjust the time zone of the computer's internal clock
0,352,csrss.exe,35,SeCreateSymbolicLinkPrivilege,"Present,Enabled,Default",Required to create a symbolic link
0,352,csrss.exe,36,SeDelegateSessionUserImpersonatePrivilege,,Obtain an impersonation token for another user in the same session.
0,404,wininit.exe,2,SeCreateTokenPrivilege,,Create a token object
0,404,wininit.exe,3,SeAssignPrimaryTokenPrivilege,Present,Replace a process-level token
0,404,wininit.exe,4,SeLockMemoryPrivilege,Default,Lock pages in memory
0,404,wininit.exe,5,SeIncreaseQuotaPrivilege,Present,Increase quotas
0,404,wininit.exe,6,SeMachineAccountPrivilege,,Add workstations to the domain
0,404,wininit.exe,7,SeTcbPrivilege,"Present,Enabled,Default",Act as part of the operating system
0,404,wininit.exe,8,SeSecurityPrivilege,Present,Manage auditing and security log
0,404,wininit.exe,9,SeTakeOwnershipPrivilege,Present,Take ownership of files/objects
0,404,wininit.exe,10,SeLoadDriverPrivilege,Present,Load and unload device drivers
0,404,wininit.exe,11,SeSystemProfilePrivilege,Default,Profile system performance
0,404,wininit.exe,12,SeSystemtimePrivilege,,Change the system time
0,404,wininit.exe,13,SeProfileSingleProcessPrivilege,Default,Profile a single process
0,404,wininit.exe,14,SeIncreaseBasePriorityPrivilege,"Present,Enabled,Default",Increase scheduling priority
0,404,wininit.exe,15,SeCreatePagefilePrivilege,Default,Create a pagefile
0,404,wininit.exe,16,SeCreatePermanentPrivilege,"Present,Enabled,Default",Create permanent shared objects
0,404,wininit.exe,17,SeBackupPrivilege,Present,Backup files and directories
0,404,wininit.exe,18,SeRestorePrivilege,Present,Restore files and directories
0,404,wininit.exe,19,SeShutdownPrivilege,Present,Shut down the system
0,404,wininit.exe,20,SeDebugPrivilege,"Present,Enabled,Default",Debug programs
0,404,wininit.exe,21,SeAuditPrivilege,"Present,Enabled,Default",Generate security audits
0,404,wininit.exe,22,SeSystemEnvironmentPrivilege,Present,Edit firmware environment values
0,404,wininit.exe,23,SeChangeNotifyPrivilege,"Present,Enabled,Default",Receive notifications of changes to files or directories
0,404,wininit.exe,24,SeRemoteShutdownPrivilege,,Force shutdown from a remote system
0,404,wininit.exe,25,SeUndockPrivilege,Present,Remove computer from docking station
0,404,wininit.exe,26,SeSyncAgentPrivilege,,Synch directory service data
0,404,wininit.exe,27,SeEnableDelegationPrivilege,,Enable user accounts to be trusted for delegation
0,404,wininit.exe,28,SeManageVolumePrivilege,Present,Manage the files on a volume
0,404,wininit.exe,29,SeImpersonatePrivilege,"Present,Enabled,Default",Impersonate a client after authentication
0,404,wininit.exe,30,SeCreateGlobalPrivilege,"Present,Enabled,Default",Create global objects
