TreeDepth,SessionID,SessionType,ProcessID,Process,UserName,CreateTime
0,N/A,-,4,System,-,2023-04-24 14:41:32.000000 
0,N/A,-,268,smss.exe,-,2023-04-24 14:41:32.000000 
0,0,-,352,csrss.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,0,-,404,wininit.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,0,-,476,services.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,0,-,484,lsass.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,0,-,492,lsm.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,0,-,628,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,692,vmacthlp.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,724,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,776,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2023-04-24 14:41:38.000000 
0,0,-,860,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,936,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,1052,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2023-04-24 14:41:38.000000 
0,0,-,1120,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:38.000000 
0,0,-,1348,spoolsv.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:39.000000 
0,0,-,1428,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2023-04-24 14:41:39.000000 
0,0,-,1672,VGAuthService.,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:40.000000 
0,0,-,1756,vmtoolsd.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:40.000000 
0,0,-,1992,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2023-04-24 14:41:41.000000 
0,0,-,1072,WmiPrvSE.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:41.000000 
0,0,-,1332,dllhost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:41.000000 
0,0,-,1268,msdtc.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:43.000000 
0,0,-,2128,SearchIndexer.,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:45.000000 
0,0,-,2316,wmpnetwk.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:41:46.000000 
0,0,-,2408,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2023-04-24 14:41:46.000000 
0,0,-,3448,sppsvc.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:43:40.000000 
0,0,-,3484,svchost.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:43:41.000000 
0,0,-,3164,audiodg.exe,-,2023-04-24 14:49:15.000000 
0,0,-,2300,WmiPrvSE.exe,WORKGROUP/WIN-MNF9FL8RCB0$,2023-04-24 14:49:40.000000 
0,0,-,3940,cmd.exe,-,2023-04-24 14:59:30.000000 
0,0,-,3980,conhost.exe,-,2023-04-24 14:59:30.000000 
0,0,-,3960,ipconfig.exe,-,2023-04-24 14:59:30.000000 
0,1,-,412,csrss.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,1,-,504,winlogon.exe,/SYSTEM,2023-04-24 14:41:37.000000 
0,1,-,1300,dwm.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:41:39.000000 
0,1,Console,1312,explorer.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:41:39.000000 
0,1,-,1408,taskhost.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:41:39.000000 
0,1,Console,1556,vmtoolsd.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:41:39.000000 
0,1,Console,2956,notepad.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:48:50.000000 
0,1,Console,3704,notepad.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:58:43.000000 
0,1,Console,3840,notepad.exe,WIN-MNF9FL8RCB0/Hoxed,2023-04-24 14:59:24.000000 

