TreeDepth,Index,Address,Module,Symbol
0,0,0x82acbc28,ntoskrnl,NtAcceptConnectPort
0,1,0x8291240d,ntoskrnl,NtAccessCheck
0,2,0x82a5bb68,ntoskrnl,NtAccessCheckAndAuditAlarm
0,3,0x8287688a,ntoskrnl,NtAccessCheckByType
0,4,0x82acd4ff,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,5,0x8294f3fa,ntoskrnl,NtAccessCheckByTypeResultList
0,6,0x82b3db05,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,7,0x82b3db4e,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,8,0x82a503bd,ntoskrnl,NtAddAtom
0,9,0x82b57368,ntoskrnl,NtAddBootEntry
0,10,0x82b585c1,ntoskrnl,NtAddDriverEntry
0,11,0x82a46b95,ntoskrnl,NtAdjustGroupsToken
0,12,0x82ad7b35,ntoskrnl,NtAdjustPrivilegesToken
0,13,0x82b30963,ntoskrnl,NtAlertResumeThread
0,14,0x82a83a56,ntoskrnl,NtAlertThread
0,15,0x82a536cc,ntoskrnl,NtAllocateLocallyUniqueId
0,16,0x829e9928,ntoskrnl,NtAllocateReserveObject
0,17,0x82b22898,ntoskrnl,NtAllocateUserPhysicalPages
0,18,0x82a3a14e,ntoskrnl,NtAllocateUuids
0,19,0x82a7ca62,ntoskrnl,NtAllocateVirtualMemory
0,20,0x82ac8df1,ntoskrnl,NtAlpcAcceptConnectPort
0,21,0x82a2a238,ntoskrnl,NtAlpcCancelMessage
0,22,0x82ac81fe,ntoskrnl,NtAlpcConnectPort
0,23,0x82a47c0c,ntoskrnl,NtAlpcCreatePort
0,24,0x82ad95bc,ntoskrnl,NtAlpcCreatePortSection
0,25,0x82a4a28f,ntoskrnl,NtAlpcCreateResourceReserve
0,26,0x82ad939c,ntoskrnl,NtAlpcCreateSectionView
0,27,0x82ad1afc,ntoskrnl,NtAlpcCreateSecurityContext
0,28,0x82a5c0f0,ntoskrnl,NtAlpcDeletePortSection
0,29,0x82b1d657,ntoskrnl,NtAlpcDeleteResourceReserve
0,30,0x82aceec9,ntoskrnl,NtAlpcDeleteSectionView
0,31,0x82ad97ee,ntoskrnl,NtAlpcDeleteSecurityContext
0,32,0x82ab21fc,ntoskrnl,NtAlpcDisconnectPort
0,33,0x82accf2e,ntoskrnl,NtAlpcImpersonateClientOfPort
0,34,0x82a5ed15,ntoskrnl,NtAlpcOpenSenderProcess
0,35,0x82a52cf3,ntoskrnl,NtAlpcOpenSenderThread
0,36,0x82a44b70,ntoskrnl,NtAlpcQueryInformation
0,37,0x82ab2a83,ntoskrnl,NtAlpcQueryInformationMessage
0,38,0x82b1d77f,ntoskrnl,NtAlpcRevokeSecurityContext
0,39,0x82aa4f0a,ntoskrnl,NtAlpcSendWaitReceivePort
0,40,0x82a52702,ntoskrnl,NtAlpcSetInformation
0,41,0x82a6421b,ntoskrnl,NtApphelpCacheControl
0,42,0x82a200e3,ntoskrnl,NtAreMappedFilesTheSame
0,43,0x82a51ed1,ntoskrnl,NtAssignProcessToJobObject
0,44,0x828d08bc,ntoskrnl,NtCallbackReturn
0,45,0x82a1b5c3,ntoskrnl,NtCancelIoFile
0,46,0x82a4fce7,ntoskrnl,NtCancelIoFileEx
0,47,0x82b09fb0,ntoskrnl,NtCancelSynchronousIoFile
0,48,0x8287cd56,ntoskrnl,NtCancelTimer
0,49,0x82a7eb5f,ntoskrnl,NtClearEvent
0,50,0x82a9737a,ntoskrnl,NtClose
0,51,0x82acd42e,ntoskrnl,NtCloseObjectAuditAlarm
0,52,0x82b45412,ntoskrnl,NtCommitComplete
0,53,0x82b45132,ntoskrnl,NtCommitEnlistment
0,54,0x82a269b9,ntoskrnl,NtCommitTransaction
0,55,0x82aef013,ntoskrnl,NtCompactKeys
0,56,0x82a4dc9d,ntoskrnl,NtCompareTokens
0,57,0x82a52ce9,ntoskrnl,NtCompleteConnectPort
0,58,0x82aef27f,ntoskrnl,NtCompressKey
0,59,0x82acad09,ntoskrnl,NtConnectPort
0,60,0x82892d0c,ntoskrnl,NtContinue
0,61,0x82affc79,ntoskrnl,NtCreateDebugObject
0,62,0x82a55505,ntoskrnl,NtCreateDirectoryObject
0,63,0x829f7a55,ntoskrnl,NtCreateEnlistment
0,64,0x82a93671,ntoskrnl,NtCreateEvent
0,65,0x82b5d068,ntoskrnl,NtCreateEventPair
0,66,0x82aa21e4,ntoskrnl,NtCreateFile
0,67,0x82aad667,ntoskrnl,NtCreateIoCompletion
0,68,0x82a44977,ntoskrnl,NtCreateJobObject
0,69,0x82b326de,ntoskrnl,NtCreateJobSet
0,70,0x82a53e2a,ntoskrnl,NtCreateKey
0,71,0x82a62d1e,ntoskrnl,NtCreateKeyedEvent
0,72,0x82a24a36,ntoskrnl,NtCreateKeyTransacted
0,73,0x82a5832f,ntoskrnl,NtCreateMailslotFile
0,74,0x82a63196,ntoskrnl,NtCreateMutant
0,75,0x82ad34f9,ntoskrnl,NtCreateNamedPipeFile
0,76,0x829df406,ntoskrnl,NtCreatePagingFile
0,77,0x82a4475f,ntoskrnl,NtCreatePort
0,78,0x82a2657f,ntoskrnl,NtCreatePrivateNamespace
0,79,0x82b2edf9,ntoskrnl,NtCreateProcess
0,80,0x82b2ee44,ntoskrnl,NtCreateProcessEx
0,81,0x82b5dafb,ntoskrnl,NtCreateProfile
0,82,0x82b5dac1,ntoskrnl,NtCreateProfileEx
0,83,0x829fa35f,ntoskrnl,NtCreateResourceManager
0,84,0x82a75f2b,ntoskrnl,NtCreateSection
0,85,0x82a5898d,ntoskrnl,NtCreateSemaphore
0,86,0x82a547f5,ntoskrnl,NtCreateSymbolicLinkObject
0,87,0x82b2ec02,ntoskrnl,NtCreateThread
0,88,0x82ac3124,ntoskrnl,NtCreateThreadEx
0,89,0x82a51304,ntoskrnl,NtCreateTimer
0,90,0x82a57ac8,ntoskrnl,NtCreateToken
0,91,0x82a22e62,ntoskrnl,NtCreateTransaction
0,92,0x829fa16b,ntoskrnl,NtCreateTransactionManager
0,93,0x82ac1056,ntoskrnl,NtCreateUserProcess
0,94,0x829f7134,ntoskrnl,NtCreateWaitablePort
0,95,0x82a62f39,ntoskrnl,NtCreateWorkerFactory
0,96,0x82b00b36,ntoskrnl,NtDebugActiveProcess
0,97,0x82b011f3,ntoskrnl,NtDebugContinue
0,98,0x82a7b96f,ntoskrnl,NtDelayExecution
0,99,0x82a3f07b,ntoskrnl,NtDeleteAtom
0,100,0x82b5739b,ntoskrnl,NtDeleteBootEntry
0,101,0x82b585f3,ntoskrnl,NtDeleteDriverEntry
0,102,0x829eb6ad,ntoskrnl,NtDeleteFile
0,103,0x82a3e911,ntoskrnl,NtDeleteKey
0,104,0x82add9df,ntoskrnl,NtDeleteObjectAuditAlarm
0,105,0x82ae66f6,ntoskrnl,NtDeletePrivateNamespace
0,106,0x82a30328,ntoskrnl,NtDeleteValueKey
0,107,0x82ac63ca,ntoskrnl,NtDeviceIoControlFile
0,108,0x82b1a4da,ntoskrnl,NtDisableLastKnownGood
0,109,0x82b555ef,ntoskrnl,NtDisplayString
0,110,0x82966259,ntoskrnl,NtDrawText
0,111,0x82a844f0,ntoskrnl,NtDuplicateObject
0,112,0x82abe974,ntoskrnl,NtDuplicateToken
0,113,0x82b1a5bb,ntoskrnl,NtEnableLastKnownGood
0,114,0x82b5759d,ntoskrnl,NtEnumerateBootEntries
0,115,0x82b587f3,ntoskrnl,NtEnumerateDriverEntries
0,116,0x82ab9a59,ntoskrnl,NtEnumerateKey
0,117,0x82b5717b,ntoskrnl,NtEnumerateSystemEnvironmentValuesEx
0,118,0x82b45f4c,ntoskrnl,NtEnumerateTransactionObject
0,119,0x82abbebf,ntoskrnl,NtEnumerateValueKey
0,120,0x82b20a0f,ntoskrnl,NtExtendSection
0,121,0x82a37d81,ntoskrnl,NtFilterToken
0,122,0x82a438ff,ntoskrnl,NtFindAtom
0,123,0x82a5b117,ntoskrnl,NtFlushBuffersFile
0,124,0x829e790f,ntoskrnl,NtFlushInstallUILanguage
0,125,0x82a524c2,ntoskrnl,NtFlushInstructionCache
0,126,0x82a319cd,ntoskrnl,NtFlushKey
0,127,0x828771b1,ntoskrnl,NtFlushProcessWriteBuffers
0,128,0x82a2d130,ntoskrnl,NtFlushVirtualMemory
0,129,0x82b239b7,ntoskrnl,NtFlushWriteBuffer
0,130,0x82b23039,ntoskrnl,NtFreeUserPhysicalPages
0,131,0x8290b4db,ntoskrnl,NtFreeVirtualMemory
0,132,0x829256fc,ntoskrnl,NtFreezeRegistry
0,133,0x82b4639a,ntoskrnl,NtFreezeTransactions
0,134,0x82aa86a2,ntoskrnl,NtFsControlFile
0,135,0x82ae7dc1,ntoskrnl,NtGetContextThread
0,136,0x82ae7d56,ntoskrnl,NtGetCurrentProcessorNumber
0,137,0x82b2be37,ntoskrnl,NtGetDevicePowerState
0,138,0x82a63daf,ntoskrnl,NtGetMUIRegistryInfo
0,139,0x82b30b54,ntoskrnl,NtGetNextProcess
0,140,0x82adfc0a,ntoskrnl,NtGetNextThread
0,141,0x82a2c5c6,ntoskrnl,NtGetNlsSectionPtr
0,142,0x82b464f4,ntoskrnl,NtGetNotificationResourceManager
0,143,0x82a11e67,ntoskrnl,NtGetPlugPlayEvent
0,144,0x8293c5c7,ntoskrnl,NtGetWriteWatch
0,145,0x82a487ca,ntoskrnl,NtImpersonateAnonymousToken
0,146,0x82b1c7a1,ntoskrnl,NtImpersonateClientOfPort
0,147,0x82acc5fc,ntoskrnl,NtImpersonateThread
0,148,0x82aaef0d,ntoskrnl,NtInitializeNlsFiles
0,149,0x829eb1ca,ntoskrnl,NtInitializeRegistry
0,150,0x82ae25c3,ntoskrnl,NtInitiatePowerAction
0,151,0x82ae3cdd,ntoskrnl,NtIsProcessInJob
0,152,0x82b2be1e,ntoskrnl,NtIsSystemResumeAutomatic
0,153,0x829e5de9,ntoskrnl,NtIsUILanguageComitted
0,154,0x829e2c75,ntoskrnl,NtListenPort
0,155,0x82a18b78,ntoskrnl,NtLoadDriver
0,156,0x829e4426,ntoskrnl,NtLoadKey
0,157,0x829d1a1c,ntoskrnl,NtLoadKey2
0,158,0x829f4e72,ntoskrnl,NtLoadKeyEx
0,159,0x82a5632b,ntoskrnl,NtLockFile
0,160,0x829cb026,ntoskrnl,NtLockProductActivationKeys
0,161,0x829c66d5,ntoskrnl,NtLockRegistryKey
0,162,0x82876191,ntoskrnl,NtLockVirtualMemory
0,163,0x82a191b1,ntoskrnl,NtMakePermanentObject
0,164,0x82a5e851,ntoskrnl,NtMakeTemporaryObject
0,165,0x82a6335b,ntoskrnl,NtMapCMFModule
0,166,0x82b21b57,ntoskrnl,NtMapUserPhysicalPages
0,167,0x82b2212d,ntoskrnl,NtMapUserPhysicalPagesScatter
0,168,0x82a99394,ntoskrnl,NtMapViewOfSection
0,169,0x82b5756c,ntoskrnl,NtModifyBootEntry
0,170,0x82b587c4,ntoskrnl,NtModifyDriverEntry
0,171,0x82a48db6,ntoskrnl,NtNotifyChangeDirectoryFile
