TreeDepth,Plugin,Description,CreatedDate,ModifiedDate,AccessedDate,ChangedDate
0,MFTScan,MFT FILE_NAME entry for ,1601-01-01 00:00:17.000000 ,1602-10-14 13:44:14.000000 ,1601-01-01 00:00:17.000000 ,N/A
0,MFTScan,MFT FILE_NAME entry for ,1601-01-01 00:00:17.000000 ,1602-10-14 13:44:14.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for ,1601-01-01 00:00:17.000000 ,1602-10-14 13:44:14.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for ,1601-01-01 00:00:17.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,2009-07-13 23:41:04.000000 ,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,2009-07-13 23:41:04.000000 ,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,2009-07-13 23:41:04.000000 ,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,2009-07-13 23:41:04.000000 ,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,2009-07-13 23:41:04.000000 ,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,N/A,2023-04-25 01:32:56.000000 
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,2009-07-14 01:14:27.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for notepad.exe,2009-07-13 23:41:04.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for drmk.sys,2009-07-13 23:51:06.000000 ,2009-07-14 00:41:37.000000 ,2009-07-13 23:51:06.000000 ,2023-04-25 00:37:00.000000 
0,MFTScan,MFT FILE_NAME entry for drmk.sys,2009-07-13 23:51:06.000000 ,2009-07-14 00:41:37.000000 ,N/A,2023-04-25 00:37:00.000000 
0,MFTScan,MFT FILE_NAME entry for drmk.sys,2009-07-13 23:51:06.000000 ,2009-07-14 00:41:37.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for drmk.sys,2009-07-13 23:51:06.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:32.000000 ,2023-04-25 01:34:05.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:05.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2009-07-14 00:55:33.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for comctl32.dll.mui,2009-07-14 00:55:32.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 
0,MFTScan,MFT FILE_NAME entry for X81BDC~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X89138~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X81BDC~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,N/A,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X89138~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,N/A,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X81BDC~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X89138~1.163,2009-07-14 02:37:31.000000 ,2009-07-14 02:37:31.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X81BDC~1.163,2009-07-14 02:37:31.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X89138~1.163,2009-07-14 02:37:31.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for SERVIC~2,2009-07-14 04:34:13.000000 ,2009-07-14 04:34:14.000000 ,2009-07-14 04:34:14.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for SERVIC~2,2009-07-14 04:34:13.000000 ,2009-07-14 04:34:14.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for SERVIC~2,2009-07-14 04:34:13.000000 ,2009-07-14 04:34:14.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for SERVIC~2,2009-07-14 04:34:13.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for tokens.dat,2009-07-14 04:34:21.000000 ,2023-04-24 14:43:42.000000 ,2023-04-24 14:43:42.000000 ,2023-04-24 14:43:42.000000 
0,MFTScan,MFT FILE_NAME entry for tokens.dat,2009-07-14 04:34:21.000000 ,2023-04-24 14:43:42.000000 ,N/A,2023-04-24 14:43:42.000000 
0,MFTScan,MFT FILE_NAME entry for tokens.dat,2009-07-14 04:34:21.000000 ,2023-04-24 14:43:42.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for tokens.dat,2009-07-14 04:34:21.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for edb0033A.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,2010-11-20 21:28:38.000000 ,2023-04-24 14:40:36.000000 
0,MFTScan,MFT FILE_NAME entry for edb.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,2010-11-20 21:28:44.000000 ,2023-04-24 14:40:36.000000 
0,MFTScan,MFT FILE_NAME entry for edb.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,N/A,2023-04-24 14:40:36.000000 
0,MFTScan,MFT FILE_NAME entry for edb0033A.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,N/A,2023-04-24 14:40:36.000000 
0,MFTScan,MFT FILE_NAME entry for edb.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for edb0033A.log,2009-07-14 04:34:47.000000 ,2023-04-24 14:40:36.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for edb.log,2009-07-14 04:34:47.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for edb0033A.log,2009-07-14 04:34:47.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MPSCHE~1,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,2023-04-24 14:48:41.000000 ,2023-04-24 14:48:41.000000 
0,MFTScan,MFT FILE_NAME entry for MP Scheduled Scan,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,2023-04-24 14:48:41.000000 ,2023-04-24 14:48:41.000000 
0,MFTScan,MFT FILE_NAME entry for MPSCHE~1,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,N/A,2023-04-24 14:48:41.000000 
0,MFTScan,MFT FILE_NAME entry for MP Scheduled Scan,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,N/A,2023-04-24 14:48:41.000000 
0,MFTScan,MFT FILE_NAME entry for MPSCHE~1,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MP Scheduled Scan,2009-07-14 04:42:30.000000 ,2023-04-24 14:48:41.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MPSCHE~1,2009-07-14 04:42:30.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MP Scheduled Scan,2009-07-14 04:42:30.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WI7141~1,2009-07-14 04:46:36.000000 ,2009-07-14 04:46:36.000000 ,2009-07-14 04:46:36.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WI7141~1,2009-07-14 04:46:36.000000 ,2009-07-14 04:46:36.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WI7141~1,2009-07-14 04:46:36.000000 ,2009-07-14 04:46:36.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WI7141~1,2009-07-14 04:46:36.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X82CEB~2.163,2009-07-14 04:50:01.000000 ,2009-07-14 04:50:01.000000 ,2009-07-14 04:50:01.000000 ,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X82CEB~2.163,2009-07-14 04:50:01.000000 ,2009-07-14 04:50:01.000000 ,N/A,2023-04-25 01:32:51.000000 
0,MFTScan,MFT FILE_NAME entry for X82CEB~2.163,2009-07-14 04:50:01.000000 ,2009-07-14 04:50:01.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for X82CEB~2.163,2009-07-14 04:50:01.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,2010-11-21 00:38:49.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,2010-11-21 00:38:49.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WI54FB~1,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for WINDOW~3,2009-07-14 04:52:30.000000 ,2010-11-21 00:38:49.000000 ,N/A,N/A
