TreeDepth,PID,Process,Offset,StartVPN,EndVPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,Fileoutput
0,4,System,0x85410970,0x80000,0x9ffff,Vad ,PAGE_READWRITE,0,0,0x8413ab98,N/A,Disabled
0,4,System,0x85410880,0x40000,0x5ffff,Vad ,PAGE_READWRITE,0,0,0x85410970,N/A,Disabled
0,4,System,0x841af0d8,0x10000,0x32fff,Vad ,PAGE_READWRITE,0,0,0x85410880,N/A,Disabled
0,4,System,0x85410700,0x60000,0x7ffff,Vad ,PAGE_READWRITE,0,0,0x85410880,N/A,Disabled
0,4,System,0x82516598,0xc0000,0xc0fff,Vad ,PAGE_READWRITE,0,0,0x85410970,N/A,Disabled
0,4,System,0x853d65d0,0xa0000,0xbffff,Vad ,PAGE_READWRITE,0,0,0x82516598,N/A,Disabled
0,4,System,0x84139b60,0x777e0000,0x7791bfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x82516598,\\Windows\\System32\\ntdll.dll,Disabled
0,268,smss.exe,0x8adb0e80,0x777e0000,0x7791bfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x8adb05a8,\\Windows\\System32\\ntdll.dll,Disabled
0,268,smss.exe,0x85721130,0x200000,0x23ffff,VadS,PAGE_READWRITE,5,1,0x8adb0e80,N/A,Disabled
0,268,smss.exe,0x855d70b0,0x100000,0x100fff,Vad ,PAGE_READWRITE,0,0,0x85721130,N/A,Disabled
0,268,smss.exe,0x8559a488,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x855d70b0,N/A,Disabled
0,268,smss.exe,0x857bb1e0,0x360000,0x39ffff,VadS,PAGE_READWRITE,5,1,0x85721130,N/A,Disabled
0,268,smss.exe,0x855a15b0,0x240000,0x33ffff,VadS,PAGE_READWRITE,24,1,0x857bb1e0,N/A,Disabled
0,268,smss.exe,0x85645670,0x47b20000,0x47b32fff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x857bb1e0,\\Windows\\System32\\smss.exe,Disabled
0,268,smss.exe,0x8557f0d0,0x7ffdc000,0x7ffdcfff,Vadl,PAGE_READWRITE,1,1,0x8adb0e80,N/A,Disabled
0,268,smss.exe,0x85591d38,0x7ffb0000,0x7ffd2fff,Vad ,PAGE_READONLY,0,0,0x8557f0d0,N/A,Disabled
0,268,smss.exe,0x8587edf0,0x77a20000,0x77a20fff,Vad ,PAGE_EXECUTE_WRITECOPY,0,0,0x85591d38,\\Windows\\System32\\apisetschema.dll,Disabled
0,268,smss.exe,0x85be7ad0,0x7ffdb000,0x7ffdbfff,Vadl,PAGE_READWRITE,1,1,0x85591d38,N/A,Disabled
0,268,smss.exe,0x855ed0d0,0x7ffdf000,0x7ffdffff,Vadl,PAGE_READWRITE,1,1,0x8557f0d0,N/A,Disabled
0,352,csrss.exe,0x82503748,0xbf0000,0x17effff,Vad ,PAGE_READONLY,0,0,0x8552c2a8,N/A,Disabled
0,352,csrss.exe,0x8552bfb8,0x320000,0x420fff,Vadm,PAGE_READONLY,0,0,0x82503748,N/A,Disabled
0,352,csrss.exe,0x861900b0,0x240000,0x24ffff,VadS,PAGE_READWRITE,3,1,0x8552bfb8,N/A,Disabled
0,352,csrss.exe,0x8614df58,0x1c0000,0x1cffff,Vad ,PAGE_READWRITE,0,0,0x861900b0,N/A,Disabled
0,352,csrss.exe,0x861ad960,0x180000,0x181fff,Vad ,PAGE_READWRITE,0,0,0x8614df58,N/A,Disabled
0,352,csrss.exe,0x8aca1690,0x100000,0x166fff,Vad ,PAGE_READONLY,0,0,0x861ad960,\\Windows\\System32\\locale.nls,Disabled
0,352,csrss.exe,0x853d7620,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x8aca1690,N/A,Disabled
0,352,csrss.exe,0x8552c6c0,0x170000,0x176fff,Vad ,PAGE_READONLY,0,0,0x8aca1690,N/A,Disabled
0,352,csrss.exe,0x84bd04b8,0x1a0000,0x1a1fff,Vad ,PAGE_READONLY,0,0,0x861ad960,\\Windows\\Fonts\\vgasys.fon,Disabled
0,352,csrss.exe,0x841b1638,0x190000,0x190fff,Vadm,PAGE_READWRITE,1,1,0x84bd04b8,N/A,Disabled
0,352,csrss.exe,0x861c4060,0x1b0000,0x1b0fff,Vadm,PAGE_READWRITE,1,1,0x84bd04b8,N/A,Disabled
0,352,csrss.exe,0x863c3bc0,0x200000,0x20ffff,Vad ,PAGE_READONLY,0,0,0x8614df58,N/A,Disabled
0,352,csrss.exe,0x863c1f78,0x1e0000,0x1fffff,Vad ,PAGE_READONLY,0,0,0x863c3bc0,N/A,Disabled
0,352,csrss.exe,0x863bf140,0x1d0000,0x1d6fff,Vad ,PAGE_READONLY,0,0,0x863c1f78,\\Windows\\Fonts\\marlett.ttf,Disabled
0,352,csrss.exe,0x82514ac0,0x220000,0x22ffff,Vad ,PAGE_READWRITE,0,0,0x863c3bc0,N/A,Disabled
0,352,csrss.exe,0x8aca1878,0x210000,0x21ffff,Vad ,PAGE_READWRITE,0,0,0x82514ac0,N/A,Disabled
0,352,csrss.exe,0x82523360,0x230000,0x23ffff,Vad ,PAGE_READWRITE,0,0,0x82514ac0,N/A,Disabled
0,352,csrss.exe,0x8248d980,0x280000,0x28ffff,Vad ,PAGE_READWRITE,0,0,0x861900b0,N/A,Disabled
0,352,csrss.exe,0x82469fc0,0x260000,0x26ffff,Vad ,PAGE_READWRITE,0,0,0x8248d980,N/A,Disabled
0,352,csrss.exe,0x82438540,0x250000,0x25ffff,Vad ,PAGE_READWRITE,0,0,0x82469fc0,N/A,Disabled
0,352,csrss.exe,0x82470240,0x270000,0x27ffff,Vad ,PAGE_READWRITE,0,0,0x82469fc0,N/A,Disabled
0,352,csrss.exe,0x8c0fee28,0x2c0000,0x2fffff,VadS,PAGE_READWRITE,5,1,0x8248d980,N/A,Disabled
0,352,csrss.exe,0x824a91c0,0x2a0000,0x2affff,Vad ,PAGE_READWRITE,0,0,0x8c0fee28,N/A,Disabled
0,352,csrss.exe,0x82496e88,0x290000,0x291fff,Vad ,PAGE_READWRITE,0,0,0x824a91c0,N/A,Disabled
0,352,csrss.exe,0x824e2c20,0x2b0000,0x2bffff,Vad ,PAGE_READWRITE,0,0,0x824a91c0,N/A,Disabled
0,352,csrss.exe,0x824e0958,0x310000,0x31ffff,Vad ,PAGE_READWRITE,0,0,0x8c0fee28,N/A,Disabled
0,352,csrss.exe,0x841b10e8,0x9b0000,0x9effff,VadS,PAGE_READWRITE,5,1,0x8552bfb8,N/A,Disabled
0,352,csrss.exe,0x841a1618,0x8b0000,0x8effff,VadS,PAGE_READWRITE,5,1,0x841b10e8,N/A,Disabled
0,352,csrss.exe,0x861b0580,0x540000,0x846fff,Vad ,PAGE_READONLY,0,0,0x841a1618,N/A,Disabled
0,352,csrss.exe,0x8555a4a0,0x440000,0x53ffff,VadS,PAGE_READWRITE,176,1,0x861b0580,N/A,Disabled
0,352,csrss.exe,0x824fc578,0x430000,0x43ffff,Vad ,PAGE_READWRITE,0,0,0x8555a4a0,N/A,Disabled
0,352,csrss.exe,0x86454f68,0x890000,0x89ffff,Vad ,PAGE_READWRITE,0,0,0x861b0580,N/A,Disabled
0,352,csrss.exe,0x841a56f8,0x850000,0x88ffff,VadS,PAGE_READWRITE,5,1,0x86454f68,N/A,Disabled
0,352,csrss.exe,0x8258fb30,0x8a0000,0x8affff,Vad ,PAGE_READWRITE,0,0,0x86454f68,N/A,Disabled
0,352,csrss.exe,0x825ce0a0,0x970000,0x97ffff,Vad ,PAGE_READWRITE,0,0,0x841a1618,N/A,Disabled
0,352,csrss.exe,0x85fa30a0,0x8f0000,0x96efff,Vad ,PAGE_READONLY,0,0,0x825ce0a0,\\Windows\\Fonts\\segoeui.ttf,Disabled
0,352,csrss.exe,0x8646aad0,0x990000,0x99ffff,Vad ,PAGE_READWRITE,0,0,0x825ce0a0,N/A,Disabled
0,352,csrss.exe,0x864594d8,0x980000,0x98ffff,Vad ,PAGE_READWRITE,0,0,0x8646aad0,N/A,Disabled
0,352,csrss.exe,0x86579f38,0xb30000,0xb3ffff,Vad ,PAGE_READWRITE,0,0,0x841b10e8,N/A,Disabled
0,352,csrss.exe,0x841a9e78,0xa10000,0xa4ffff,VadS,PAGE_READWRITE,5,1,0x86579f38,N/A,Disabled
0,352,csrss.exe,0x8249d810,0x9f0000,0x9fffff,Vad ,PAGE_READWRITE,0,0,0x841a9e78,N/A,Disabled
0,352,csrss.exe,0x843038b0,0xa00000,0xa0ffff,Vad ,PAGE_READWRITE,0,0,0x8249d810,N/A,Disabled
0,352,csrss.exe,0x85d36050,0xb20000,0xb2ffff,Vad ,PAGE_READWRITE,0,0,0x841a9e78,N/A,Disabled
0,352,csrss.exe,0x855ad128,0xa50000,0xb17fff,Vad ,PAGE_READONLY,0,0,0x85d36050,N/A,Disabled
0,352,csrss.exe,0x841a1328,0xb70000,0xbaffff,VadS,PAGE_READWRITE,5,1,0x86579f38,N/A,Disabled
0,352,csrss.exe,0x86877820,0xb50000,0xb5ffff,Vad ,PAGE_READWRITE,0,0,0x841a1328,N/A,Disabled
0,352,csrss.exe,0x866757d0,0xb40000,0xb4ffff,Vad ,PAGE_READWRITE,0,0,0x86877820,N/A,Disabled
0,352,csrss.exe,0x86348b08,0xbb0000,0xbeffff,VadS,PAGE_READWRITE,5,1,0x841a1328,N/A,Disabled
0,352,csrss.exe,0x85642658,0x75990000,0x7599cfff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x82503748,\\Windows\\System32\\csrsrv.dll,Disabled
0,352,csrss.exe,0x82406798,0x1b30000,0x1b3ffff,Vad ,PAGE_READWRITE,0,0,0x85642658,N/A,Disabled
